"Quantity","RefDes","Value","Name","Pattern","Number of Pins","Manufacturer","On Board","Purchase Link"
"1","BAT1","","S8201-46R","Battery-Holder-12mm","3","Harwin","Yes","https://www.mouser.com/ProductDetail/Harwin/S8201-46R/?qs=sGAEpiMZZMtT9MhkajLHrq0s4nToQPXS9pUF0UgGLqQ%3d"
"16","C1, C5, C7, C8, C9, C10, C11, C13, C14, C21, C22, C23, C24, C25, C26, C27","100nF","CAP_0603","CAP_0603","2","","Yes","10%"
"4","C2, C3, C4, C6","18pF","CAP_0603","CAP_0603","2","","Yes","1%"
"3","C12, C19, C20","2u2F","CAP_0603","CAP_0805","2","","Yes","10%"
"2","C15, C16","10uF","CAP_0805","CAP_0805","2","","Yes","10%"
"2","C17, C18","1uF","CAP_0603","CAP_0603","2","","Yes","1%"
"2","D1, D2","200mV/3A","BAT60AE6327HTSA1","SOD-323","2","Infineon Technologies","Yes","https://www.mouser.com/search/ProductDetail.aspx?R=0virtualkey0virtualkeyNSR0530HT1G"
"1","F1","1A","0ZCJ0050AF2E","PTC-1206","2","Bel Fuse","Yes","http://www.mouser.com/ProductDetail/Bel-Fuse/0ZCJ0050AF2E/?qs=sGAEpiMZZMsxR%252bBXi4wRUHZtKAyWcVPAWvek7k%252bM9nw1GyCweYksog%3d%3d"
"1","J1","VIN","HDR-1x2","HDR-1x2","2","","No",""
"1","J2","10118193-0001LF","USB Micro B","FCI_10118193-0001LF","9","Amphenol FCI","Yes","https://www.mouser.com/ProductDetail/649-10118193-0001LF"
"1","J3","Mirco SD Card Socket","503182-1852","503182-0852","11","Molex","Yes","https://www.mouser.com/ProductDetail/Molex/503182-1852/?qs=sGAEpiMZZMuJakaoiLiBppKNOqzXwmgw2eKnQVj7yHw%3d"
"1","J4","","M08LOCK","1X08_LOCK","8","","No",""
"2","J5, J6","HDR-1x20","M20-9992046","HDR-1x20","20","Harwin","No",""
"2","L1, L2","MMZ2012Y300B","IND_0805","0805","2","TDK","Yes","http://www.mouser.com/ProductDetail/Kingbright/APT1608SECK/?qs=sGAEpiMZZMuCm2JlHBGefkIVz3MM6kBjLW7cpD7cRDo%3d"
"5","LED0, LED1, LED2, LED3, LED6","RED","LED_0603","DIO_0603","2","Kingbright","",""
"7","LED4, LED5, LED10, LED11, LED12, LED13, LED14","YELLOW","LED_0603","DIO_0603","2","Kingbright","",""
"2","LED7, LED8","GREEN","LED_0603","DIO_0603","2","Kingbright","",""
"10","R1, R3, R4, R6, R9, R19, R21, R33, R34, R35","10k","RES_0603","RES_0603","2","","Yes","10%"
"19","R2, R5, R7, R8, R10, R13, R14, R15, R16, R17, R18, R20, R22, R23, R25, R26, R27, R30, R31","1k","RES_0603","RES_0603","2","","Yes","10%"
"2","R11, R12","100","RES_0603","RES_0603","2","","Yes","10%"
"1","R24","402k","RES_0603","RES_0603","2","","Yes","5%"
"2","R28, R29","4k7","RES_0603","RES_0603","2","","Yes","10%"
"1","R32","22","RES_0603","RES_0603","2","","Yes","10%"
"5","RESET1, SW0, SW1, SW2, SW3","TAC_SWITCHPTH","FSM4JH","TACTILE-PTH","4","TE Connectivity / Alcoswitch","Yes","https://www.mouser.com/ProductDetail/506-FSM4JH"
"6","TP1, TP2, TP3, TP4, TP5, TP6","","TEST_POINT","Test Point","1","","No",""
"1","U1","LPC4078","LPC4078FBD80","QFP-80/14x14x0.5","80","NXP-Philips","Yes","https://www.mouser.com/ProductDetail/NXP-Semiconductors/LPC4078FBD80551/?qs=sGAEpiMZZMuoKKEcg8mMKFAWyO3EZKIohkAhMDOOz90%3d"
"1","U2","3.3V","AP2112K-3.3TRG1","SOT23-5","5","Diodes Incorporated","Yes","https://www.mouser.com/ProductDetail/Diodes-Incorporated/AP2112K-33TRG1/?qs=x6A8l6qLYDDPYHosCdzh%2FA%3D%3D"
"1","U3","","CP2102N-A01-GQFN28","QFN-28/5x5x0.5","29","Silicon Lab","Yes","https://www.mouser.com/productdetail/silicon-labs/cp2102n-a01-gqfn20?qs=sGAEpiMZZMtv%252bwxsgy%2FhiNkeFQVgvIXfIpPtyuhT2lk%3D"
"1","U4","","SSD1306","ER-OLED0.96-1W-Rev3","30","SOLOMON SYSTECH","Yes","https://www.buydisplay.com/default/datasheet-128x64-oled-module-spi-0-96-inch-graphic-displays-white-on-black"
"1","U5","","Si7060","SOT23-5","5","","Yes","https://www.mouser.com/ProductDetail/634-SI7060-B-01-IV"
"1","U6","MMA8452Q","MMA8452Q","PRQFN-16RNP/3x3x0.5","16","Freescale","Yes","http://www.mouser.com/ProductDetail/Freescale-Semiconductor/MMA8452QT/?qs=sGAEpiMZZMs5J6Fwfw6CO8JCg%252bk9FD%2FT"
"1","U7","WIFI-ESP-8266","WIFI-ESP-8266","WIRELESS-WIFI-ESP-01","8","Espressif Systems","No",""
"1","U8","256Kb","AT25DN256","SOIC-8/150mil","8","Atmel","Yes","http://www.mouser.com/ProductDetail/Adesto-Technologies/AT25DN256-SSHF-B/?qs=sGAEpiMZZMtI%252bQ06EiAoGyvfIbkCBxDLBRGXSdg%2fpPg%3d"
"1","U9","","APDS-9960","APDS-9960","8","Avago","Yes","https://www.mouser.com/ProductDetail/Broadcom-Limited/APDS-9960/?qs=9j6qqDjiC68hPiaH59tKpQ%3d%3d"
"1","Y1","32.768KHz","LFXTAL003000Reel","85SMX","4","IQD","Yes","https://www.mouser.com/ProductDetail/449-LFXTAL003000REEL"
"1","Y2","16MHz","HC49S","HC-49U","2","","No",""
"110","","","","","287","","",""
